9N2,seaplane_base,Philadelphia Seaplane Base,39.85900116,-75.29959869,NA,US,Essington
9Z8,small_airport,Levelock Airport,59.12606,-156.860906,NA,US,Levelock
A23,seaplane_base,Saginaw Seaplane Base,56.88629913,-134.1580048,NA,US,Saginaw Bay
A61,small_airport,Tuntutuliak Airport,60.33530045,-162.6670074,NA,US,Tuntutuliak
A63,small_airport,Twin Hills Airport,59.07559967,-160.272995,NA,US,Twin Hills
A79,small_airport,Chignik Lake Airport,56.25500107,-158.7749939,NA,US,Chignik Lake
AAD,small_airport,Adado Airport,6.095802,46.6375,AF,SO,Adado
ABP,small_airport,Atkamba Airport,-6.06462,141.095173,OC,PG,Atkamba Mission
ABW,closed,Abau Airport,-10.1956,148.7389,OC,PG,Abau
ACM,small_airport,Arica Airport,-2.144851,-71.758389,NA,CO,Arica
AD-ALV,heliport,Andorra la Vella (Our Lady of Meritxell Hospital) Heliport,42.511228,1.533651,EU,AD,Escaldes-Engordany
ADC,small_airport,Andakombe Airport,-7.137222222,145.7447222,OC,PG,Andekombe
ADV,small_airport,El Daein Airport,11.4023,26.1186,AF,SD,El Daein
AE-0006,seaplane_base,Jebel Ali Seaplane Base,24.988967,55.023796,AS,AE,Jebel Ali
AEE,small_airport,Adareil Airport,10.053611,32.959444,AF,SS,Adar
AEK,small_airport,Aseki Airport,-7.350804856,146.1938667,OC,PG,Aseki
AEQ,small_airport,Ar Horqin Airport,43.87042,120.15958,AS,CN,Chifeng
AF-0005,medium_airport,Khost International Airport,33.284605,69.80734,AS,AF,Khost
AF10,small_airport,Orūzgān Airport,32.90299988,66.63089752,AS,AF,Orūzgān
AF11,small_airport,Salerno Airport,33.3638,69.9561,AS,AF,Khost
AFK,seaplane_base,Kondavattavana Tank Seaplane Base,7.284,81.644,AS,LK,Ampara
AFR,small_airport,Afore Airstrip,-9.142222222,148.3908333,OC,PG,Afore
AGAF,small_airport,Afutara Aerodrome,-9.191388889,160.9486111,OC,SB,Bila
AGAR,small_airport,Ulawa Airport,-9.860543583,161.9795465,OC,SB,Arona
AGAT,small_airport,Uru Harbour Airport,-8.87333,161.011002,OC,SB,Atoifi
AGBA,small_airport,Barakoma Airport,-7.912779808,156.7059937,OC,SB,Barakoma
AGEV,small_airport,Geva Airport,-7.575829983,156.5970001,OC,SB,Liangia
AGG,small_airport,Angoram Airport,-4.055833333,144.0738889,OC,PG,Angoram
AGGA,small_airport,Gwaunaru'u Airport,-8.70257,160.682007,OC,SB,Auki
AGGB,small_airport,Bellona/Anua Airport,-11.30222222,159.7983333,OC,SB,Anua
AGGC,small_airport,Choiseul Bay Airport,-6.711944,156.396111,OC,SB,Choiseul
AGGE,small_airport,Ballalae Airport,-6.990745,155.886656,OC,SB,Ballalae
AGGF,small_airport,Fera/Maringe Airport,-8.1075,159.576996,OC,SB,Fera Island
AGGH,large_airport,Honiara International Airport,-9.428,160.054993,OC,SB,Honiara
AGGI,small_airport,Babanakira Airport,-9.74750042,159.8390045,OC,SB,Mbambanakira
AGGJ,small_airport,Avu Avu Airport,-9.868333333,160.4105556,OC,SB,
AGGK,small_airport,Ngorangora Airport,-10.44970036,161.897995,OC,SB,Kirakira
AGGL,small_airport,Santa Cruz/Graciosa Bay/Luova Airport,-10.72029972,165.7949982,OC,SB,Santa Cruz/Graciosa Bay/Luova
AGGM,medium_airport,Munda Airport,-8.32797,157.263,OC,SB,Munda
AGGN,small_airport,Nusatupe Airport,-8.097780228,156.8639984,OC,SB,Gizo
AGGO,small_airport,Mono Airport,-7.416940212,155.5650024,OC,SB,Stirling Island
AGGP,small_airport,Parasi Airport,-9.641670227,161.4250031,OC,SB,Parasi
AGGQ,closed,Ontong Java Atoll Airstrip,-5.515,159.527778,OC,SB,Ontong Java Atoll
AGGR,small_airport,Rennell/Tingoa Airport,-11.53390026,160.0630035,OC,SB,Rennell Island
AGGS,small_airport,Sege Airport,-8.578889847,157.8760071,OC,SB,Sege
AGGT,small_airport,Santa Ana Airport,-10.847994,162.454108,OC,SB,Santa Ana Island
AGGU,small_airport,Marau Airport,-9.86166954,160.8249969,OC,SB,Marau
AGGV,small_airport,Suavanao Airport,-7.585559845,158.7310028,OC,SB,Suavanao
AGGY,small_airport,Yandina Airport,-9.092816,159.21841,OC,SB,Yandina
AGK,small_airport,Kagua Airport,-6.396388889,143.8536111,OC,PG,Kagua
AGKG,small_airport,Kaghau Airport,-7.3305,157.585,OC,SB,Kagau Island
AGKU,small_airport,Kukudu Airport,-8.0262,156.94783,OC,SB,Kolombangara Island
AGKW,small_airport,Kwailabesi Airport,-8.360508,160.775127,OC,SB,Kwailabesi
AGL,small_airport,Wanigela Airport,-9.3375,149.1555556,OC,PG,Wanigela
AGNA,small_airport,Nana Airport,-10.6758,162.2049,OC,SB,Star Harbor
AGOK,small_airport,Gatokae Aerodrome,-8.738358,158.202836,OC,SB,Gatokae
AGRC,small_airport,Ringi Cove Airport,-8.126390457,157.1430054,OC,SB,Ringi Cove
AGRM,small_airport,Ramata Airport,-8.168060303,157.6430054,OC,SB,Ramata
AGTI,heliport,Tulaghi Heliport,-9.108,160.1491667,OC,SB,Tulaghi Island
AGY,small_airport,Argyle Downs Airport,-16.508604,128.922485,OC,AU,Argyle Downs
AHJ,medium_airport,Hongyuan Airport,32.53154,102.35224,AS,CN,Aba
AHY,small_airport,Ambatolhy Airport,-20.01583333,45.535,AF,MG,Ambatolahy
AIE,small_airport,Aiome Airport,-5.145699978,144.7307003,OC,PG,Aiome
AIH,small_airport,Aiambak Airport,-7.342777778,141.2675,OC,PG,Aiambak
AIP,small_airport,Ailinglaplap Airok Airport,7.279422,168.8257,OC,MH,Bigatyelang Island
AK13,small_airport,Chena Hot Springs Airport,65.05180359,-146.0469971,NA,US,Chena Hot Springs
AK26,small_airport,Solomon State Field,64.5605,-164.4457,NA,US,Solomon
AK33,small_airport,Herendeen Bay Airport,55.80139923,-160.8990021,NA,US,Herendeen Bay
AK49,small_airport,Taylor Airport,65.6792984,-164.798996,NA,US,Taylor
AK56,seaplane_base,Tikchik Lodge Seaplane Base,59.96319962,-158.477005,NA,US,Tikchik
AK62,seaplane_base,Naukati Bay Seaplane Base,55.849602,-133.227994,NA,US,Tuxekan Island
AK71,small_airport,Point Lonely Short Range Radar Site Airfield,70.911118,-153.237766,NA,US,Point Lonely
AK75,small_airport,Candle 2 Airport,65.90769959,-161.9259949,NA,US,Candle
AK81,seaplane_base,Amook Bay Seaplane Base,57.4715004,-153.8150024,NA,US,Amook Bay
AK97,small_airport,Boswell Bay Airport,60.42309952,-146.1459961,NA,US,Boswell Bay
AKM,small_airport,Zakuoma Airport,10.89027778,19.81722222,AF,TD,ZaKouma
AL73,small_airport,Sharpe Field,32.4919014,-85.77559662,NA,US,Tuskegee
ALZ,seaplane_base,Alitak Seaplane Base,56.8995018,-154.2480011,NA,US,Lazy Bay
AMC,small_airport,Mar de Cortés International Airport,31.351987,-113.305177,NA,MX,Puerto Peñasco
AME,small_airport,Alto Molocue Airport,-15.61027778,37.68138889,AF,MZ,Alto Molocue
AMF,small_airport,Ama Airport,-4.101111111,141.67,OC,PG,Ama
AMG,closed,Amboin Airstrip,-4.605642,143.485308,OC,PG,Amboin
AMU,small_airport,Amanab Airport,-3.586,141.2143333,OC,PG,Amanab
AMY,small_airport,Ambatomainty Airport,-17.68666667,45.62388889,AF,MG,Ambatomainty
ANYN,medium_airport,Nauru International Airport,-0.547458,166.919006,OC,NR,Yaren District
ANZ,small_airport,Angus Downs Airport,-25.0325,132.2748,OC,AU,Angus Downs Station
AO-0001,small_airport,Catoca Airport,-9.430985,20.311478,AF,AO,Saurimo
AO-0005,small_airport,Andulo Airport,-11.4723,16.710899,AF,AO,Andulo
AOA,closed,Aroa Airport,-9.0254,146.8,OC,PG,Agevairu
AOB,small_airport,Annanberg Airport,-4.904166667,144.6358333,OC,PG,Annanberg
AO-CNZ,small_airport,Cangamba Airport,-13.7106,19.861099,AF,AO,Cangamba
AOD,small_airport,Abou-Deïa Airport,11.4773,19.2874,AF,TD,Abou-Deïa
AO-DRC,small_airport,Dirico Airport,-17.98192406,20.76806068,AF,AO,Dirico
AO-GGC,small_airport,Lumbala Airport,-12.63987732,22.5868206,AF,AO,Lumbala
AO-KNP,small_airport,Capanda Airport,-9.769370079,15.4553194,AF,AO,Capanda
AO-NDF,small_airport,N'dalatando Airport,-9.280378,14.982432,AF,AO,N'dalatando
APP,small_airport,Asapa Airport,-8.979166667,148.1036111,OC,PG,Asapa
APR,small_airport,April River Airport,-4.676666667,142.5401389,OC,PG,April River
AQ-0002,small_airport,Troll Airfield,-71.95714,2.45257,AN,AQ,Troll Station
AQY,small_airport,Girdwood-Alyeska Airport,60.968774,-149.119792,NA,US,Girdwood
AR-0005,small_airport,Bragado Airport,-35.145811,-60.480294,SA,AR,Bragado
AR-0007,small_airport,Caleta Olivia Airport,-46.37428,-67.59409,SA,AR,Caleta Olivia
AR-0009,small_airport,Charata Airport,-27.2164,-61.2103,SA,AR,Charata
AR-0010,small_airport,General Villegas Airport,-34.995728,-62.999725,SA,AR,General Villegas
AR-0011,small_airport,Los Menucos Airport,-40.817699,-68.074699,SA,AR,Los Menucos
AR-0015,closed,Saenz Peña Airport,-26.81579971,-60.44829941,SA,AR,Presidencia Roque Sáenz Peña
AR-0017,small_airport,Valcheta Airport,-40.70000076,-66.15000153,SA,AR,Valcheta
AR-0346,small_airport,Sunchales Aeroclub Airport,-30.9575,-61.5283,SA,AR,Sunchales
AR-0390,small_airport,Carmen de Patagones Airport,-40.7781,-62.9803,SA,AR,Carmen de Patagones
AR-0462,small_airport,Termal Airport,-26.753611,-60.492222,SA,AR,Presidencia Roque Sáenz Peña
AR-0494,small_airport,Colonia Sarmiento Airport,-45.582371,-68.999841,SA,AR,Sarmiento
ARP,small_airport,Aragip Airport,-9.883333333,149.4833333,OC,PG,Aragip
ARX,closed,Asbury Park Neptune Air Terminal,40.21930556,-74.09083333,NA,US,Asbury Park
ASZ,small_airport,Asirim Airport,-6.009722222,150.3686111,OC,PG,Asirim
ATN,small_airport,Namatanai Airport,-3.6695,152.438,OC,PG,Namatanai
ATP,small_airport,Aitape Airport,-3.143611111,142.3468056,OC,PG,Aitape
AU-0081,small_airport,Lady Elliot Island Airstrip,-24.1129,152.7156,OC,AU,Lady Elliot Island
